"scenario","probNe_50","extn_Risk"
"A",0,44.9
"B",0,11.5
"C",0.1,1.6
"D",0.1,0.3
"E",0.6,0.1
"F",1.2,0
"G",2.6,0
"H",2.3,0
"I",3.3,0
