"scenario","prob_50","extn_Risk"
"A",0.1,16
"B",2.1,2
"C",4.7,0.7
"D",10.7,0.3
"E",21.8,0.1
"F",32.7,0
"G",44.5,0
"H",54.1,0
"I",66,0
