"scenario","probNe_50","prob_Extn"
"A",0.2,47.1
"B",0.7,7.6
"C",5.4,0.6
"D",13.7,0
"E",21.2,0
"F",34,0
"G",44.8,0
"H",50.3,0
"I",63.2,0
