"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,3,4,4,4,4
4,4,4,4,4,3,4,4,4,4
4,4,4,4,4,3,4,4,4,4
4,4,4,4,4,3,4,4,4,4
4,4,4,4,4,3,4,4,4,4
4,4,4,4,4,3,4,4,4,4
5,4,4,5,5,3,4,4,6,4
4,4,5,5,5,3,4,4,4,4
5,5,4,5,5,3,5,4,5,4
6,4,4,5,4,3,5,5,6,5
4,5,4,4,4,3,5,5,5,4
5,4,4,4,4,4,4,5,5,6
6,4,4,6,5,3,4,4,5,4
5,4,4,6,4,3,6,5,5,4
4,4,4,6,5,3,5,5,5,6
5,4,4,5,5,4,4,5,5,5
5,5,4,5,5,3,4,4,5,4
6,5,4,5,5,4,4,5,5,4
4,4,5,5,5,4,5,5,4,5
6,6,4,5,6,3,6,6,4,4
5,4,4,4,5,4,6,4,4,6
4,6,5,5,6,3,5,5,4,6
5,4,5,6,4,3,6,4,4,4
6,4,4,5,5,4,4,4,5,4
4,5,4,4,6,4,4,6,5,5
5,5,5,5,4,3,6,5,5,6
6,6,5,5,5,4,4,6,5,5
4,5,6,6,4,3,6,4,6,6
4,5,6,5,4,4,6,5,6,5
5,4,5,4,5,3,4,6,6,5
4,5,5,4,4,4,6,4,4,4
5,4,6,4,4,3,6,4,5,6
6,6,5,5,5,4,4,5,5,6
4,6,6,6,4,3,5,6,5,5
6,7,4,6,5,3,5,5,5,5
5,6,6,6,5,5,7,5,5,6
6,6,6,5,5,3,4,5,8,7
7,5,6,6,4,4,7,5,6,6
7,4,5,7,4,4,8,5,7,6
7,5,7,4,4,3,7,8,5,7
5,6,6,5,4,4,6,5,6,5
4,5,5,4,5,3,6,6,4,5
5,5,4,4,4,5,5,5,5,5
6,7,6,6,4,4,7,4,6,5
6,5,5,6,4,4,6,6,5,4
5,6,5,5,4,3,6,6,6,5
6,4,4,6,4,4,7,4,6,4
7,5,5,6,4,5,6,5,6,6
5,6,5,6,5,5,6,5,5,6
8,6,5,5,4,4,4,5,5,4
7,5,4,4,6,4,6,4,5,5
6,8,5,6,4,5,7,5,5,4
7,5,6,6,7,5,6,4,4,4
5,6,5,6,5,4,6,6,4,4
8,6,4,6,6,6,7,5,4,5
7,6,6,6,6,6,7,6,4,5
6,6,6,7,7,5,6,6,6,4
8,8,5,5,7,5,6,5,5,4
7,6,5,7,6,5,7,5,6,5
8,8,6,6,6,4,6,6,6,5
6,7,7,6,7,5,7,5,5,4
5,9,6,5,6,4,7,5,5,4
8,8,6,7,6,4,8,5,5,5
7,9,7,6,6,5,7,6,7,6
6,8,8,7,5,5,7,5,5,6
6,7,7,7,5,5,7,6,6,6
6,9,5,8,6,5,6,6,6,6
8,6,8,7,7,5,7,7,6,6
6,7,6,7,7,6,8,6,6,5
6,7,6,6,5,5,7,6,5,5
7,9,8,9,8,5,7,6,6,5
8,7,7,6,6,5,8,7,6,7
6,8,7,7,6,6,8,7,7,5
5,8,7,7,7,5,7,5,6,7
6,8,6,5,6,5,7,6,5,6
8,8,7,7,6,5,8,6,6,5
7,7,5,6,7,5,8,5,5,4
5,9,6,7,5,5,9,8,6,5
5,8,6,5,5,4,8,7,7,5
6,7,7,7,6,5,8,8,4,7
6,7,5,7,6,5,9,7,5,4
6,8,6,6,5,5,9,7,7,5
7,9,7,6,7,5,9,8,7,5
5,7,7,6,7,4,9,7,6,5
5,7,7,7,5,5,8,7,6,5
8,9,8,6,7,6,8,6,6,6
5,7,7,7,6,5,7,8,6,5
8,9,7,6,7,6,11,8,5,6
6,9,7,7,8,5,10,8,4,4
5,9,8,6,7,6,10,8,5,3
7,9,6,6,8,5,11,9,8,5
7,9,6,7,7,5,10,7,5,5
8,9,7,6,6,5,10,8,6,3
9,12,6,9,6,6,10,8,4,5
6,10,9,7,6,5,11,8,7,4
7,10,6,5,5,7,10,7,7,4
5,8,7,7,5,5,11,9,7,4
8,10,8,8,5,6,11,8,6,5
6,12,6,8,5,7,10,9,5,3
7,11,6,9,6,4,12,8,4,4
7,10,6,8,5,8,10,8,5,3
6,10,8,8,5,5,9,8,4,3
7,9,6,6,5,7,10,8,5,3
9,12,7,6,5,6,12,8,5,3
6,11,8,6,7,7,9,7,6,4
7,12,6,7,6,6,10,7,6,4
10,14,7,6,6,7,9,8,4,4
10,11,5,5,6,5,10,8,5,4
7,12,6,6,6,6,11,7,5,4
5,11,6,7,7,4,11,8,5,3
8,15,7,8,6,5,12,6,4,4
6,12,7,6,4,5,12,8,5,3
7,10,6,8,6,6,10,9,4,4
7,13,7,7,6,5,12,7,5,4
7,13,6,7,6,5,10,6,6,5
8,12,7,9,5,5,13,5,5,5
8,12,6,8,6,6,12,6,5,5
