"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
7,8,7,9,7,8,6,6,6,7
8,6,6,8,9,8,6,6,8,7
8,7,6,7,8,8,8,8,8,7
8,7,9,7,9,10,7,6,8,6
9,8,6,7,6,8,8,9,9,7
7,8,6,7,7,9,7,8,8,7
8,8,8,10,9,6,10,9,6,8
7,8,6,8,9,8,8,8,6,8
8,9,9,8,8,8,7,8,7,7
6,8,7,9,7,8,6,8,8,8
8,9,9,8,7,7,8,8,7,7
7,7,7,7,7,6,7,7,7,9
8,7,7,10,8,8,7,8,8,7
6,8,9,6,7,7,9,6,8,8
6,7,6,8,8,8,8,7,6,9
7,7,7,6,8,7,8,9,10,8
8,7,7,6,8,8,8,8,7,9
8,7,7,6,8,9,7,7,9,10
9,7,7,6,9,7,7,8,8,8
7,7,10,6,7,8,7,6,10,9
7,7,7,6,7,7,8,7,6,8
8,7,6,7,6,7,10,8,8,7
8,7,6,7,7,9,8,8,7,8
9,7,7,6,7,9,7,8,8,8
7,7,9,8,7,9,7,7,7,10
8,8,10,7,6,8,9,8,9,7
8,6,9,8,9,7,8,6,10,8
8,8,8,6,6,8,8,8,9,10
8,10,7,8,7,7,9,7,9,8
9,9,8,8,7,10,7,10,8,8
10,9,8,7,7,10,9,10,8,8
9,8,9,8,8,10,8,9,8,8
10,7,8,9,8,11,9,8,8,10
7,9,8,8,8,8,7,8,7,9
8,9,8,8,10,7,6,8,10,9
10,9,11,6,9,8,8,7,9,10
9,10,9,7,7,8,8,7,6,8
8,8,9,7,8,10,8,11,8,10
9,9,9,7,10,7,8,9,8,9
9,9,10,6,10,10,9,11,6,9
8,8,9,5,7,7,8,9,8,10
10,8,9,7,11,8,7,8,7,9
7,10,9,6,10,8,8,8,9,9
11,11,9,5,11,6,8,8,10,9
11,10,10,7,10,7,6,7,10,8
9,11,9,5,10,7,7,7,10,10
11,10,11,6,11,8,10,6,11,11
10,11,8,7,11,6,8,8,9,9
9,10,10,5,11,8,10,8,10,8
9,11,9,6,10,6,8,7,9,9
10,10,9,7,12,9,7,8,9,12
12,11,9,6,11,7,8,6,9,10
11,11,9,8,11,7,6,7,9,10
9,12,9,7,11,8,7,7,10,9
11,10,10,6,11,6,7,7,9,11
10,12,9,9,13,8,8,7,10,11
13,11,11,9,11,9,9,7,11,10
11,13,11,7,10,9,10,8,11,11
11,11,12,6,13,8,9,7,12,10
10,12,13,8,14,9,10,7,11,12
9,13,12,7,11,9,9,7,11,11
9,14,11,8,11,9,10,6,10,11
11,11,11,7,11,11,11,7,10,11
9,10,11,9,10,9,10,9,11,10
11,11,10,7,14,11,7,7,8,11
8,11,12,9,12,8,9,8,10,10
12,11,11,8,15,10,10,9,10,11
10,14,12,6,14,9,10,10,10,12
11,12,11,10,11,9,8,8,10,10
11,14,10,8,11,7,8,10,8,10
10,13,10,6,11,9,9,10,10,10
12,13,9,7,13,8,7,9,9,9
13,13,10,9,13,9,8,8,10,9
11,12,8,8,12,9,8,10,8,9
10,12,11,8,14,7,12,7,11,9
10,13,10,8,14,7,11,9,11,8
10,15,9,9,14,8,11,9,11,9
10,14,8,9,14,10,9,9,10,9
11,14,10,9,13,10,10,10,11,11
10,15,11,10,16,8,10,7,10,8
10,16,10,8,16,9,10,9,10,10
11,13,10,8,16,7,11,11,11,13
11,15,10,9,16,6,9,8,12,11
11,16,10,9,16,6,12,9,13,11
13,14,11,10,14,7,12,9,12,10
13,14,11,9,15,7,11,9,12,10
10,15,11,9,17,7,12,10,13,12
11,17,10,8,17,8,12,10,11,11
10,17,10,9,18,7,11,11,13,11
12,16,11,11,16,9,12,11,11,10
12,16,11,9,16,6,13,9,12,10
10,13,11,9,15,8,13,11,15,10
14,14,11,9,16,8,12,12,13,12
13,16,13,10,14,7,13,9,13,10
13,16,8,7,17,6,11,9,13,13
12,15,11,9,16,9,13,9,10,11
12,16,12,8,18,7,13,9,11,10
13,16,14,8,15,8,12,10,13,11
13,16,11,8,16,10,12,9,11,10
13,17,13,8,14,9,12,10,12,9
13,18,15,7,16,10,11,11,14,12
11,14,14,7,16,9,12,9,14,9
12,16,13,7,15,9,12,10,12,12
12,13,13,10,16,10,12,10,12,10
11,15,13,10,16,9,10,10,12,10
12,16,12,9,16,10,12,8,13,12
14,15,14,10,16,10,10,10,14,8
13,17,11,7,16,8,11,8,16,9
13,20,13,9,14,10,11,8,15,10
15,16,11,8,16,12,12,11,14,10
16,18,14,9,16,10,14,10,13,11
