"scenario","lambda_50years","prob_Extn"
"A",0.225457971928832,77.9
"B",0.615175075986526,38.9
"C",0.866760073738917,13.5
"D",0.971241071399328,2.9
"E",0.993189400937208,0.6
"F",0.998141722307406,0
"G",0.99842136312579,0
"H",0.996928957978757,0
"I",0.997099362395894,0
