"scenario","lambda_50years","prob_Extn"
"A",0.625136448204284,40.2
"B",0.976748102850206,5.9
"C",1.03587162176099,0.3
"D",1.04244589447508,0
"E",1.04236581456606,0
"F",1.04328906911818,0
"G",1.04353177861627,0
"H",1.04293153602567,0
"I",1.04372986909372,0
