"scenario","prob_50","prob_Extn"
"A",0,47.4
"B",0,15.5
"C",0,6.2
"D",0,1.8
"E",0.8,0.8
"F",2,0.1
"G",2.3,0.1
"H",5.7,0
"I",9.3,0.1
