"A","B","C","D","E","F","G","H","I"
3,17,1,23,11,24,25,51,58
22,22,7,35,32,40,47,73,30
2,12,12,22,42,15,41,28,105
0,2,11,4,20,42,29,22,17
4,4,4,4,19,25,53,40,31
13,13,15,2,17,34,44,85,59
5,15,14,24,13,29,102,43,29
16,1,15,17,21,40,63,20,15
1,12,6,41,36,19,17,36,45
0,11,3,28,56,39,26,56,45
0,0,5,12,12,2,62,29,28
2,7,21,4,56,38,42,43,59
0,6,12,17,25,22,58,26,40
10,14,36,27,22,26,5,19,46
0,0,22,63,18,6,6,29,48
0,13,4,6,12,22,8,36,49
0,6,12,5,18,30,6,40,71
5,17,20,33,20,45,34,52,51
0,13,20,18,15,31,33,26,20
7,7,45,45,3,36,49,50,20
0,14,12,12,27,12,37,40,38
6,6,18,4,44,30,38,31,59
1,7,24,24,18,48,66,32,41
0,9,4,47,5,30,43,20,61
6,13,10,21,29,48,35,41,19
3,3,13,15,34,9,25,36,27
3,6,17,33,16,13,21,55,44
0,24,4,20,9,35,9,36,47
18,24,16,10,27,26,23,26,65
0,4,10,10,10,59,64,50,48
1,9,24,15,47,29,23,100,61
0,2,8,22,24,3,39,12,63
0,21,2,24,21,32,12,42,27
0,7,35,27,26,35,24,19,56
14,6,12,38,60,7,21,51,78
2,15,6,18,6,40,54,55,76
0,3,5,7,11,15,52,20,33
1,2,7,17,34,26,18,40,88
0,19,10,10,2,45,64,47,28
12,6,4,17,23,14,35,30,46
0,2,3,13,48,38,52,54,17
5,8,10,36,25,9,22,18,21
0,3,18,18,18,46,33,11,70
4,16,4,25,20,22,8,38,60
3,16,26,1,11,58,6,43,32
21,21,3,21,39,54,32,24,43
0,4,15,16,28,31,67,18,68
0,24,11,5,7,48,63,89,25
0,0,1,8,15,38,17,22,55
0,7,15,22,1,16,54,58,15
3,11,2,15,2,33,22,28,42
7,5,27,21,18,15,31,61,15
0,8,17,20,5,8,36,74,39
0,4,2,17,38,19,36,49,31
10,3,3,29,11,31,14,16,26
0,13,13,29,28,32,23,72,33
0,12,9,2,15,47,55,70,45
0,23,7,9,3,8,11,7,47
14,8,28,17,11,19,56,30,41
4,19,12,42,4,24,35,26,56
3,8,3,50,33,57,34,53,48
3,3,3,11,8,26,14,9,24
0,10,19,37,23,43,13,70,56
6,9,13,6,25,9,14,24,53
0,0,0,6,50,22,46,48,35
2,24,2,12,30,60,95,40,20
1,21,6,30,27,32,23,63,26
7,3,14,17,23,21,5,40,35
3,1,14,11,13,42,10,7,30
10,4,9,36,29,23,60,45,62
0,5,5,11,19,12,36,53,42
9,9,24,13,36,16,25,33,40
0,0,12,13,55,33,41,61,15
22,16,6,44,27,18,24,72,11
0,7,14,8,8,46,20,47,32
0,6,17,13,28,45,5,37,34
7,12,8,4,37,39,9,30,14
0,1,1,13,11,29,58,61,55
0,19,8,4,26,50,26,84,67
14,10,13,17,17,18,30,50,31
4,12,5,17,34,34,31,26,9
5,6,6,12,28,12,57,50,50
3,3,8,15,11,35,4,22,52
2,2,4,13,42,34,16,57,36
4,4,8,20,73,39,9,34,39
0,21,11,21,28,27,42,19,24
17,8,7,7,13,63,41,56,57
4,8,25,7,18,30,20,38,75
0,9,47,15,3,23,40,36,85
0,3,12,46,3,9,25,40,78
3,16,20,19,27,42,48,53,28
4,4,32,8,1,13,15,15,16
0,5,3,19,27,33,38,15,65
16,16,5,4,32,45,15,16,71
5,13,25,7,22,19,54,57,20
0,26,16,20,3,21,40,25,38
0,4,44,42,83,83,37,24,53
0,0,1,19,41,54,44,19,56
9,24,4,24,25,10,15,52,50
11,11,25,24,56,38,43,17,32
0,13,28,12,25,56,50,26,49
0,25,15,16,12,15,28,33,75
0,0,28,3,16,31,44,40,58
0,9,11,15,37,32,32,28,47
0,41,9,21,12,29,19,35,48
11,11,15,7,34,59,33,36,21
0,1,44,39,56,30,40,55,61
0,6,24,24,22,14,39,15,29
12,12,9,24,8,40,44,42,72
5,13,9,16,33,2,32,6,8
0,24,23,38,47,18,17,45,45
1,2,7,28,34,20,20,15,34
13,14,15,40,45,20,24,96,35
0,2,22,20,4,17,25,21,25
8,1,2,4,23,24,35,46,73
0,0,26,18,39,31,51,35,38
4,31,11,5,41,46,41,24,24
5,5,16,19,1,37,32,27,55
0,12,18,31,37,23,17,48,17
0,1,1,6,6,37,10,33,77
12,6,32,15,18,23,21,6,25
11,5,3,23,23,20,38,39,47
0,6,10,21,52,31,38,2,47
0,15,10,22,11,24,39,20,85
2,18,24,21,23,21,20,29,28
0,19,11,10,25,22,22,58,25
0,14,37,17,19,14,49,13,30
2,3,3,45,8,3,5,57,49
0,14,44,8,3,43,36,4,61
16,11,11,30,15,18,16,81,30
0,2,17,3,30,16,31,31,16
0,0,31,36,7,19,30,23,23
0,27,7,16,34,46,10,12,44
9,10,2,5,23,58,21,13,20
6,6,6,21,25,38,14,38,83
7,7,31,47,22,18,29,30,44
5,2,35,25,26,30,49,74,37
15,10,10,37,23,18,22,50,37
0,7,34,23,23,38,13,22,73
0,8,10,37,17,15,39,79,27
0,1,1,20,12,12,41,18,48
0,0,0,30,34,16,33,33,36
2,6,6,28,18,38,42,21,15
12,24,3,16,10,14,63,56,62
2,8,26,10,15,39,44,83,47
0,5,24,17,23,32,39,69,52
1,4,36,20,13,13,36,44,11
9,32,10,10,19,53,13,37,39
6,1,17,59,40,21,36,45,116
0,0,17,37,23,16,29,34,27
5,5,18,37,13,28,49,122,41
10,6,3,21,62,24,40,58,37
7,11,10,10,50,22,38,21,41
17,17,4,8,42,27,37,31,48
7,3,2,33,18,50,25,25,30
0,0,21,38,3,67,10,44,21
5,5,5,5,61,33,29,64,30
0,9,8,8,36,59,24,55,27
33,19,5,9,33,7,22,38,12
0,12,11,12,23,40,38,43,41
11,12,3,8,23,8,45,13,40
0,5,14,25,13,39,8,36,61
4,4,3,1,4,41,22,32,8
0,14,10,28,15,35,21,33,55
0,13,13,33,9,18,37,11,32
0,10,19,29,15,23,24,28,38
1,4,13,34,6,39,70,52,22
0,6,3,12,17,87,35,16,52
4,6,6,1,44,4,21,28,13
0,3,3,57,37,40,9,62,45
0,5,5,18,37,26,23,42,14
2,2,3,29,36,16,42,46,16
15,15,24,24,13,6,24,22,99
14,13,35,19,21,18,29,59,56
0,5,2,7,14,4,69,26,69
1,9,2,8,25,17,20,49,80
0,0,0,43,23,24,48,55,33
3,22,5,23,24,12,72,48,40
3,3,15,37,36,24,10,50,22
19,1,10,14,17,10,49,61,14
3,3,3,21,48,18,38,69,24
0,0,17,68,20,20,13,47,62
0,0,4,5,14,9,40,48,50
0,0,7,7,14,21,28,53,43
0,0,15,47,16,40,74,11,79
0,0,16,2,28,38,16,25,35
14,23,32,18,37,38,43,25,38
0,13,31,25,8,61,40,18,65
0,7,7,13,21,6,17,48,37
9,9,24,15,26,18,42,43,18
2,18,8,15,25,15,27,19,55
0,7,23,9,19,19,50,31,27
2,24,13,28,17,18,42,29,108
0,8,3,21,45,44,20,51,28
12,14,7,43,22,27,94,26,48
1,4,13,10,14,51,39,35,57
0,22,5,16,18,35,37,44,25
0,10,22,15,14,15,24,36,56
0,4,4,32,33,24,59,12,17
7,3,14,42,26,25,26,37,15
0,2,28,13,25,65,35,4,59
4,19,16,11,18,55,34,23,64
3,8,8,17,2,37,45,77,41
8,13,4,10,52,42,31,41,27
9,9,17,13,34,15,43,16,26
8,13,13,17,34,36,20,65,41
2,11,21,10,57,30,24,26,35
15,10,15,52,5,32,41,30,16
0,10,10,19,27,37,34,24,17
4,4,5,35,1,52,40,81,55
4,4,22,23,15,40,41,41,21
8,10,10,38,35,20,27,52,21
0,13,5,11,39,34,23,31,67
15,15,15,33,57,16,24,13,56
0,28,17,7,46,25,52,31,19
12,12,15,12,1,27,32,27,43
2,9,21,20,47,39,43,29,38
2,12,11,24,32,33,56,34,37
4,9,8,9,6,52,48,56,26
10,5,18,2,6,26,81,16,43
18,18,31,18,27,53,34,19,47
7,11,15,30,29,37,32,11,10
0,0,6,16,25,22,37,48,40
0,14,4,4,38,11,34,55,39
0,6,14,18,17,28,31,48,24
13,3,1,18,29,13,27,28,46
9,2,19,8,15,24,44,46,26
22,9,12,15,14,14,27,70,52
0,16,22,24,27,61,93,79,34
0,3,3,8,27,17,61,42,34
4,4,15,7,35,38,30,39,46
0,5,27,30,47,26,8,12,50
2,10,1,19,48,25,28,23,32
6,6,6,14,23,50,38,55,64
8,7,19,11,11,60,16,49,16
0,0,19,34,21,50,16,23,34
16,20,4,7,36,33,37,53,66
0,2,25,13,12,27,30,43,57
2,15,15,26,23,41,38,2,41
7,29,4,47,6,12,40,38,23
7,4,5,4,11,21,37,23,45
0,5,22,12,13,21,9,28,36
4,39,13,16,41,14,28,31,17
0,2,3,10,19,20,33,25,56
0,3,7,4,28,19,56,60,60
0,23,1,2,22,52,51,66,64
1,18,18,18,16,26,64,21,45
6,2,27,25,24,35,31,54,39
2,16,16,19,32,71,44,34,18
0,1,26,11,38,81,39,15,37
9,12,8,30,34,8,22,20,28
8,3,26,38,16,40,4,22,15
0,15,20,42,8,10,40,15,33
11,14,5,17,43,45,79,9,47
1,7,6,6,24,18,22,49,41
9,11,21,16,8,25,49,42,83
8,6,21,22,26,35,39,47,37
0,0,11,12,22,28,14,30,52
0,3,13,36,21,22,63,48,41
3,19,19,7,28,44,2,58,73
0,9,16,26,12,36,20,69,69
3,7,17,6,21,51,10,18,24
8,11,7,10,5,28,30,45,18
4,17,15,19,14,18,30,73,72
2,25,10,20,31,28,51,31,51
0,14,21,13,35,24,48,55,35
0,0,9,14,23,23,54,52,55
12,2,6,33,4,30,12,15,22
9,5,5,45,6,42,41,5,62
18,6,21,8,12,11,67,40,52
0,7,7,25,59,44,19,40,107
11,11,8,41,51,37,41,67,69
2,10,20,17,4,19,43,74,83
0,4,20,10,33,49,36,53,48
4,4,13,38,6,54,69,24,55
0,14,12,25,11,18,48,37,29
5,30,3,16,17,11,8,27,8
0,6,3,25,10,25,19,32,11
0,10,35,35,8,81,78,48,52
5,9,9,15,58,27,44,18,54
4,3,9,5,8,60,34,7,28
0,1,1,33,30,42,43,48,36
11,10,18,18,40,48,63,99,31
10,9,25,7,3,37,46,43,72
3,28,9,19,8,8,37,56,28
0,7,17,5,9,23,50,48,13
0,23,3,27,11,31,15,107,54
0,5,6,5,28,26,33,52,27
19,5,5,67,28,21,11,36,30
