"A","B","C","D","E","F","G","H","I"
5,14,22,19,45,9,56,31,60
19,19,19,15,10,26,44,39,74
11,12,7,28,30,23,52,62,102
0,19,8,3,9,41,43,64,114
0,4,9,33,42,29,25,32,104
17,15,35,10,57,18,45,86,75
0,7,16,36,2,49,40,53,45
12,4,1,11,33,2,47,45,45
8,18,16,19,44,43,49,60,50
0,29,6,26,25,29,77,38,46
0,10,2,9,31,47,35,22,104
0,34,14,16,60,20,16,40,45
10,12,37,24,20,57,66,51,25
0,0,12,5,39,82,36,75,36
0,12,18,24,35,35,4,65,89
0,12,16,30,28,37,34,25,66
3,4,15,41,53,57,21,37,76
13,22,2,3,22,34,40,63,20
8,20,24,12,50,21,21,45,65
5,3,21,29,8,36,69,59,33
2,16,23,12,9,18,54,59,52
16,2,2,54,25,59,31,21,59
2,8,16,44,18,19,13,38,77
5,8,8,25,41,8,67,35,53
0,33,15,39,52,58,60,85,34
6,22,6,16,16,32,73,96,58
4,17,12,34,22,8,6,47,20
6,9,9,19,5,40,72,103,28
12,2,7,12,29,48,10,67,32
2,11,5,5,39,53,69,17,67
0,13,3,23,50,25,99,53,115
9,12,19,39,24,7,29,82,63
12,5,29,14,35,64,59,18,35
0,13,8,19,48,13,46,54,53
0,16,20,41,41,42,41,40,88
4,1,28,80,31,58,23,67,61
5,10,12,28,43,58,46,40,79
8,6,1,26,15,47,48,100,71
0,5,16,19,45,21,56,57,71
14,6,23,39,26,69,90,85,36
9,4,46,26,33,14,74,60,27
0,4,6,31,29,45,35,50,66
0,6,6,17,4,52,51,61,72
0,0,16,24,16,19,87,40,31
2,2,31,21,36,41,31,41,42
22,22,24,47,32,101,58,72,48
2,5,8,32,28,31,36,81,33
1,14,25,53,5,47,64,38,28
6,4,59,34,29,19,19,23,46
7,5,5,10,37,28,48,63,72
0,9,10,25,11,13,34,44,57
0,0,14,36,1,45,36,18,67
8,8,15,19,36,32,56,47,67
0,0,22,35,51,31,74,8,82
0,16,15,25,34,7,92,3,33
9,20,6,19,31,17,41,42,58
42,20,46,30,22,21,38,47,40
6,13,10,6,14,25,42,35,58
2,5,1,20,46,46,55,30,64
16,3,19,16,50,22,48,46,28
0,10,10,32,26,59,83,49,20
4,25,7,65,18,49,26,14,49
2,1,43,38,23,48,12,54,72
3,34,34,68,63,56,51,19,39
5,11,11,67,31,10,66,50,124
1,11,36,29,40,71,27,37,89
0,10,14,30,39,37,24,18,31
17,20,30,29,37,101,87,64,30
10,5,10,7,29,39,41,54,63
5,26,3,8,19,56,29,32,49
6,4,2,26,26,59,47,126,58
8,4,30,37,15,49,53,63,68
0,8,2,18,30,36,34,14,63
0,3,22,33,27,26,23,58,61
4,6,7,47,27,65,53,25,102
5,5,31,21,14,13,44,80,85
6,10,6,13,25,28,105,43,40
6,13,30,6,62,17,46,43,79
0,24,27,21,43,19,44,64,46
0,33,34,46,58,95,50,46,79
0,10,15,31,33,11,45,15,38
20,2,21,49,21,78,42,52,72
0,16,25,25,14,13,37,35,73
2,11,19,35,39,49,47,45,27
6,6,31,21,28,48,24,54,16
0,33,33,31,7,85,37,60,134
4,13,6,12,59,5,8,27,124
0,11,16,51,19,44,55,59,118
0,20,8,12,12,65,34,38,93
7,24,9,45,34,17,32,59,66
6,4,23,28,52,42,19,59,85
0,0,10,22,12,15,43,85,56
2,2,26,35,19,30,40,66,99
0,0,36,25,21,39,2,16,61
9,21,21,21,39,20,24,67,47
16,16,1,18,34,27,10,91,32
2,14,14,20,26,26,17,13,17
12,4,23,13,8,59,19,48,64
4,11,2,61,31,50,27,59,21
0,19,11,54,15,27,33,63,85
0,14,57,19,51,18,22,25,113
0,10,1,4,35,8,49,57,31
5,1,8,16,28,51,56,60,65
4,4,5,33,18,70,65,57,36
5,13,22,31,31,22,55,27,112
2,4,36,16,8,11,46,47,64
0,16,12,25,22,61,32,102,111
4,18,15,54,5,57,70,67,44
2,20,15,47,22,105,64,22,90
3,21,20,66,64,62,79,34,29
0,6,22,26,61,37,62,50,87
1,12,17,35,42,17,83,48,63
4,4,6,5,74,20,57,60,54
