"A","B","C","D","E","F","G","H","I"
0,6,15,18,60,60,89,38,72
3,7,26,23,7,21,55,38,133
17,8,5,30,34,28,18,148,28
3,3,50,79,2,97,173,160,62
7,1,13,17,59,95,53,61,12
25,3,23,11,23,40,33,86,101
0,5,1,43,79,23,101,53,13
17,17,21,65,25,34,45,95,50
1,23,46,32,22,84,29,71,21
4,6,40,2,21,4,86,45,80
0,6,46,39,41,73,60,57,59
0,55,81,44,41,66,127,20,89
19,21,31,28,50,44,62,33,47
4,18,23,31,21,43,35,57,70
18,45,41,39,71,63,42,44,106
0,19,11,29,36,36,69,65,68
0,12,33,5,30,95,45,92,116
7,7,24,25,87,69,32,56,88
0,5,29,58,59,6,45,43,53
0,20,4,8,37,37,70,83,25
27,7,39,22,27,59,78,43,33
19,8,4,26,32,34,127,32,119
0,0,8,19,75,42,76,72,175
10,17,28,29,30,3,113,78,87
7,30,28,67,12,40,26,22,63
27,45,41,31,26,61,36,38,92
13,75,14,32,15,126,81,11,38
10,15,27,15,35,42,93,133,70
30,26,8,51,78,109,103,106,61
4,5,18,22,69,57,43,72,89
23,6,5,5,50,28,34,104,34
6,4,48,5,18,67,68,101,64
21,4,14,25,20,61,67,54,87
6,6,22,35,98,83,79,73,140
0,15,12,29,47,22,50,43,30
0,28,10,4,47,22,33,124,84
6,23,14,58,20,8,91,82,117
13,3,26,65,36,38,105,47,66
18,2,47,37,12,34,30,63,27
21,14,42,10,22,55,58,68,70
17,12,28,6,78,44,26,70,110
0,18,24,30,35,7,53,98,80
7,7,57,20,47,19,43,42,106
0,9,47,40,52,12,90,27,27
1,17,38,60,62,25,87,105,147
0,6,2,44,27,44,72,23,91
11,29,22,32,34,41,60,78,73
0,9,14,63,3,89,44,81,62
1,2,67,46,34,66,71,110,109
0,0,42,1,38,28,56,114,107
4,6,11,18,46,80,44,71,95
5,15,15,80,49,25,96,72,39
0,8,17,8,34,92,33,77,100
42,29,9,78,81,27,42,63,85
17,2,28,48,41,65,42,39,82
13,19,48,37,84,19,68,99,15
20,8,21,58,12,50,52,74,86
0,3,3,25,30,77,46,105,91
0,5,8,43,51,87,68,59,64
8,6,42,15,28,33,16,19,56
0,18,17,15,86,60,54,58,51
7,10,11,31,19,44,69,93,89
0,18,53,63,32,30,31,80,112
5,4,21,9,17,31,41,66,35
11,64,9,4,82,65,118,78,142
25,15,45,8,20,40,31,50,71
13,3,5,3,15,63,38,103,35
0,21,21,27,39,19,34,43,64
11,6,40,25,33,20,65,48,84
3,18,17,6,81,72,28,103,92
4,26,12,64,12,42,55,83,131
23,14,20,10,54,41,74,83,66
0,10,13,64,40,95,45,75,95
16,25,25,25,33,51,49,50,85
19,19,11,62,19,60,67,32,28
5,32,30,6,87,60,105,118,95
13,56,9,30,38,37,61,44,43
9,7,7,23,80,50,93,157,57
0,10,31,11,29,40,47,103,47
0,1,8,17,27,66,64,67,53
15,14,21,17,82,44,65,16,86
2,1,5,23,25,38,60,31,44
0,0,52,16,38,35,28,123,69
7,15,12,34,15,22,86,43,30
0,0,20,12,58,46,43,37,44
0,21,23,13,6,35,19,53,37
0,17,28,41,30,38,45,107,73
0,14,14,26,15,13,44,66,90
2,2,26,9,46,88,83,27,79
9,14,18,6,32,28,78,45,61
0,45,31,21,31,40,34,112,54
4,6,9,36,15,45,119,42,68
9,19,11,14,38,45,21,48,105
1,12,5,53,40,55,46,65,110
8,8,20,26,91,93,81,58,95
1,1,9,10,61,8,81,53,47
6,17,48,26,61,42,42,59,73
4,44,21,20,28,50,104,62,37
35,6,29,32,71,113,55,36,61
4,24,23,13,39,23,38,87,156
0,10,28,65,50,73,29,65,105
6,2,2,29,20,20,21,93,66
4,18,49,5,58,21,56,24,70
23,9,22,26,69,45,35,128,99
16,15,25,7,33,25,68,88,91
0,3,41,47,60,62,63,54,49
0,49,3,37,42,34,45,46,8
11,25,13,33,55,18,38,54,34
2,7,5,20,82,48,61,99,89
0,7,55,50,25,56,14,83,76
4,10,47,18,36,43,54,39,81
0,35,15,57,53,65,16,69,33
0,0,16,9,13,44,46,76,57
6,26,22,21,29,45,32,29,104
14,13,21,32,37,11,39,29,89
21,3,58,22,25,87,29,14,35
7,7,11,35,41,43,57,42,32
0,18,14,13,32,52,18,99,21
3,4,61,28,21,43,76,94,43
15,42,20,65,30,71,53,92,49
0,3,33,21,10,114,75,60,132
0,23,35,29,63,88,42,41,93
21,13,2,22,12,24,57,53,42
10,25,33,48,63,56,96,76,124
5,7,50,50,34,81,71,62,32
13,9,17,9,41,68,49,52,59
0,17,54,16,53,60,33,57,90
22,7,8,49,49,53,67,58,82
0,0,9,55,28,73,34,52,53
0,5,9,18,34,34,28,153,57
9,19,13,21,11,9,103,99,100
0,11,14,5,46,41,28,28,136
3,3,54,34,44,32,85,55,75
1,7,40,88,63,44,72,94,51
39,4,49,9,52,18,127,74,44
0,15,18,12,3,55,46,74,73
20,19,3,11,46,120,51,68,69
0,3,12,19,31,38,79,71,88
7,23,6,74,22,27,64,63,77
10,21,24,20,73,48,60,96,97
5,43,44,24,66,32,70,39,79
27,9,29,44,61,39,60,54,70
0,9,16,47,9,69,27,75,47
0,11,8,10,23,47,59,66,104
6,20,1,22,54,27,31,51,38
4,4,15,27,61,26,41,91,91
9,11,32,11,42,33,35,22,80
8,8,19,30,31,63,46,40,38
9,25,25,46,71,71,24,39,62
0,0,65,40,51,51,89,138,33
6,24,18,17,15,80,67,33,44
0,13,20,1,66,21,17,51,44
44,26,18,60,51,95,66,32,91
2,8,12,40,54,10,90,46,128
15,8,44,32,32,39,34,58,132
27,19,41,51,20,23,31,75,60
19,19,25,25,29,43,87,66,47
0,12,1,27,23,11,31,61,66
0,9,16,29,41,97,55,71,76
0,15,1,59,44,40,34,29,142
10,9,23,22,13,95,63,4,63
11,14,82,3,44,67,37,85,75
0,29,16,36,58,117,64,13,138
20,9,26,7,66,36,60,76,75
10,10,14,42,53,72,94,58,53
2,18,11,12,40,36,145,106,41
0,0,2,29,37,54,64,27,58
2,15,8,47,64,21,33,70,44
0,30,6,13,31,60,71,60,128
18,12,30,29,18,47,25,117,121
24,21,48,44,11,46,82,35,39
24,20,20,20,5,12,70,60,76
0,9,4,8,22,49,39,93,42
0,8,8,8,23,76,93,114,77
0,10,10,27,37,63,53,88,86
3,7,41,22,39,113,63,99,72
0,26,23,17,16,105,52,81,94
6,15,24,32,77,92,71,77,42
0,24,44,41,31,34,115,109,56
0,16,18,22,19,32,85,57,43
0,0,8,38,41,35,51,96,43
