"scenario","prob_50","prob_Extn"
"A",0,38.8
"B",0.4,8.4
"C",1.1,2.2
"D",3.8,0.7
"E",12.8,0.3
"F",23.7,0
"G",36.1,0
"H",49.7,0
"I",61.1,0
