"scenario","prob_150","prob_100","prob_50","prob_40","prob_Extn"
"A",0,0,0,0,49.1
"B",0,0,0,0,15.8
"C",0,0,0,0.1,5.8
"D",0,0,0.1,0.8,1.3
"E",0,0,0.2,2.3,0.1
"F",0,0,1.7,5.1,0.3
"G",0,0,2.6,11.3,0.1
"H",0,0,6.4,18.1,0
"I",0,0.1,10,25,0
