"scenario","lambda_50years","prob_Extn"
"A",0.353750962860749,65.4
"B",0.662015635489816,34.5
"C",0.821199478403659,18.4
"D",0.891546374960227,11.3
"E",0.951171076233511,5.4
"F",0.975292269284902,3
"G",0.993210032485242,1.2
"H",0.993997004292058,1.1
"I",1.00118590844559,0.5
