"scenario","prob_150","prob_100","prob_50","prob_40","prob_Extn"
"A",0,0,0,0,59.6
"B",0,0,0,0,26.7
"C",0,0,0,0,10.8
"D",0,0,0,0,3.8
"E",0,0,0,0.1,2.1
"F",0,0,0,0.2,1
"G",0,0,0,0,0.5
"H",0,0,0.2,1.4,0.2
"I",0,0,0.2,3.1,0.1
