"scenario","prob_150","prob_100","prob_50","prob_40","prob_Extn"
"A",0,0,0,0,64.7
"B",0,0,0,0,33.8
"C",0,0,0,0,16.6
"D",0,0,0,0,9.3
"E",0,0,0,0,4.5
"F",0,0,0,0,3
"G",0,0,0,0,1.3
"H",0,0,0,0,1.1
"I",0,0,0,0,1.2
