"scenario","lambda_50years","prob_Extn"
"A",0.671446809580124,36.2
"B",0.988235537829078,5.5
"C",1.04473402814774,0.2
"D",1.04761542751926,0
"E",1.04870141954882,0
"F",1.05036323979915,0
"G",1.05032898220435,0
"H",1.05130427043119,0
"I",1.05012141648479,0
