"scenario","prob_150","prob_100","prob_50","prob_40","prob_Extn"
"A",0,0,0,0,47.9
"B",0,0,0,0,16.9
"C",0,0,0,0,5.6
"D",0,0,0.2,1.2,1.1
"E",0,0,0.3,2.6,1.2
"F",0,0,1.3,5.2,0.1
"G",0,0,3,12.2,0
"H",0,0,5.2,16.5,0
"I",0,0,9,26.4,0
