"scenario","prob_150","prob_100","prob_50","prob_40","prob_Extn"
"A",0,0,0,0,58.7
"B",0,0,0,0,24.3
"C",0,0,0,0,10.5
"D",0,0,0,0,5.1
"E",0,0,0,0,1.5
"F",0,0,0,0.5,1
"G",0,0,0,1.1,0.4
"H",0,0,0,1.9,0.4
"I",0,0,0,2.9,0.1
