"scenario","prob_150","prob_100","prob_50","prob_40","prob_Extn"
"A",0,0,0,0,39.5
"B",0,0,0.4,1.3,10.3
"C",0,0,1.3,4.1,2.7
"D",0,0,5.5,14.6,1.1
"E",0,0.1,12.4,26.8,0.2
"F",0,0,22.6,43.7,0
"G",0,0.8,39.6,57.8,0
"H",0,1.7,48.7,70,0
"I",0,3.7,66.3,81.3,0
