"scenario","lambda_50years","prob_Extn"
"A",0.549953315600681,47.1
"B",0.953736012166074,7.6
"C",1.02443088164107,0.6
"D",1.03330192175959,0
"E",1.03396994876909,0
"F",1.03584048975972,0
"G",1.03589620705416,0
"H",1.03467092878761,0
"I",1.03587891305685,0
