"scenario","probNe_50","prob_Extn"
"A",0.9,40.2
"B",3.7,5.9
"C",14.9,0.3
"D",31.6,0
"E",43.6,0
"F",57.3,0
"G",67.6,0
"H",73.4,0
"I",81,0
