"A","B","C","D","E","F","G","H","I"
0,1,4,0,13,38,16,29,51
3,0,8,16,25,48,52,26,25
0,13,8,15,16,26,29,28,39
0,2,20,3,12,34,32,16,15
0,4,4,22,20,21,18,49,42
0,0,8,6,5,17,19,34,43
0,1,5,4,3,32,29,24,9
0,1,17,10,18,18,57,14,25
6,7,12,30,22,18,28,10,24
0,5,9,13,21,56,14,47,17
0,0,9,5,30,22,18,7,31
4,0,3,7,34,24,13,36,18
4,4,7,16,24,16,26,15,42
8,6,9,17,28,17,48,17,29
0,7,4,6,12,28,20,28,15
2,16,18,18,29,37,23,13,33
10,7,2,0,18,37,24,36,38
1,5,9,13,17,24,21,12,58
0,6,2,8,28,9,45,15,56
0,13,6,16,1,37,23,28,29
20,7,15,19,31,26,24,18,28
0,13,5,6,11,5,30,18,17
0,16,18,23,18,10,11,28,20
0,8,17,19,22,6,15,32,46
12,9,1,5,10,24,12,32,27
1,0,0,7,15,8,41,29,29
3,10,0,24,18,14,37,54,15
13,4,1,17,10,3,39,21,46
0,11,15,9,35,29,24,36,23
0,9,9,7,16,9,6,9,43
0,0,1,30,6,17,15,22,43
4,2,12,2,6,31,18,19,37
5,19,8,4,7,4,28,38,27
0,2,0,4,17,14,28,37,35
0,8,12,7,5,24,26,38,28
0,4,4,0,10,22,37,36,28
8,8,24,14,15,25,38,14,18
9,5,11,29,9,8,30,37,30
4,10,22,13,25,20,33,18,20
0,15,5,13,21,15,13,15,42
0,5,10,13,18,20,15,33,32
0,2,12,9,20,35,40,34,61
0,3,7,10,16,54,20,21,32
0,8,6,17,4,58,27,35,29
0,0,12,31,7,15,12,23,45
4,11,4,16,13,21,23,34,27
0,2,16,23,15,7,18,28,35
5,2,2,4,14,14,32,32,41
13,8,14,22,13,7,17,19,18
4,8,1,11,19,21,59,28,14
2,6,12,9,17,21,41,57,36
0,3,17,20,13,25,22,31,53
0,0,13,3,8,12,17,19,33
3,4,6,14,20,8,29,43,30
0,16,0,10,9,16,46,34,30
3,0,1,8,14,23,26,32,39
6,18,29,27,3,18,45,33,60
2,12,4,18,9,25,37,16,19
0,27,15,13,12,45,16,40,26
0,4,3,23,5,9,16,45,33
0,8,6,25,5,27,19,28,11
0,8,3,32,29,6,24,32,21
14,3,0,17,10,38,7,50,35
0,7,8,16,7,26,46,9,31
2,8,13,20,19,31,23,36,37
8,4,0,16,12,15,13,28,58
0,14,19,23,16,27,18,29,44
12,5,5,1,19,35,30,48,47
5,8,15,4,14,32,15,29,36
11,12,7,13,17,28,20,11,29
0,0,14,11,27,42,46,39,18
0,7,13,16,23,26,4,11,24
3,5,0,21,39,17,31,29,40
11,9,11,27,13,10,6,12,57
2,11,15,7,15,22,58,18,26
1,4,4,9,23,13,19,57,5
4,2,16,15,7,15,30,29,37
9,9,5,7,16,13,11,33,18
10,21,3,13,15,17,23,14,37
6,15,10,3,13,35,29,23,26
7,10,15,15,42,14,14,31,38
0,0,4,2,15,28,23,30,32
5,5,10,8,13,28,18,32,27
1,2,10,22,22,30,18,41,17
0,25,15,3,12,37,10,15,37
12,8,8,34,32,16,19,46,13
0,7,13,22,40,28,28,44,22
0,20,8,6,14,9,22,26,15
13,17,10,26,4,16,27,9,18
0,21,22,7,3,18,20,46,62
0,7,4,15,26,17,37,41,47
