"A","B","C","D","E","F","G","H","I"
10,19,18,23,30,34,57,27,55
2,27,30,39,18,28,61,62,71
6,11,9,16,28,38,33,48,48
0,17,9,38,24,11,50,25,48
0,12,26,12,47,10,21,21,84
2,8,26,36,19,50,35,74,37
0,16,36,33,49,16,83,87,122
10,6,11,15,17,10,65,81,43
2,6,51,37,39,58,48,90,70
9,0,0,23,28,60,43,58,37
5,11,25,49,35,27,69,35,53
19,11,3,36,30,60,46,56,60
5,15,16,14,34,31,46,63,65
0,12,22,15,23,38,4,43,53
7,13,16,48,20,9,47,63,60
5,0,2,33,37,58,39,33,73
1,15,28,19,41,64,22,14,64
0,15,10,23,10,12,51,54,42
0,18,10,20,45,30,23,46,40
1,20,5,16,41,36,72,37,48
0,0,15,9,33,33,79,90,106
1,5,0,17,43,57,82,40,53
5,9,0,7,32,22,25,43,55
7,15,10,6,15,42,19,50,46
6,18,16,25,43,31,59,39,113
1,6,20,19,14,20,26,30,80
16,19,3,27,21,28,66,78,25
0,7,5,23,20,18,67,53,60
3,5,6,21,42,46,39,42,39
0,26,52,41,22,31,65,64,56
9,12,43,19,36,19,24,17,47
6,14,5,27,26,55,41,92,96
0,15,23,15,43,42,30,36,66
11,4,25,16,22,52,47,60,60
0,26,7,43,46,29,78,46,58
0,4,37,19,23,30,60,109,67
16,13,32,41,50,26,102,39,42
0,10,37,21,52,53,21,58,73
6,10,6,14,50,31,38,55,64
0,1,11,17,25,27,55,47,52
0,14,21,29,35,39,50,40,95
0,16,30,15,55,28,17,42,80
11,10,15,17,10,36,33,69,55
2,27,36,6,32,35,92,61,59
10,22,40,28,22,6,41,33,54
15,10,25,13,31,36,17,39,44
16,5,14,9,27,25,39,43,64
5,7,15,55,28,54,57,38,29
0,16,11,32,27,24,40,40,89
4,9,2,22,26,15,51,81,98
3,15,7,59,9,29,31,68,30
8,29,19,10,12,35,40,55,62
0,3,4,27,34,34,30,92,63
19,20,14,21,39,60,58,65,50
4,5,40,16,33,64,7,54,47
0,0,6,38,38,16,61,81,84
1,0,32,46,23,18,39,44,47
10,9,4,15,6,51,42,27,62
5,5,8,6,30,66,22,79,47
1,13,10,10,36,17,25,39,40
0,1,9,43,28,31,53,79,62
24,7,9,40,43,56,49,14,45
0,31,25,39,56,44,35,26,42
0,19,19,11,31,45,45,51,53
6,4,14,6,19,28,63,64,47
10,15,32,22,23,13,17,36,47
5,16,28,52,22,24,37,70,48
0,30,12,32,22,49,21,35,69
0,2,64,12,50,53,22,67,17
21,32,21,38,37,17,103,38,47
8,0,18,30,40,25,74,75,45
0,1,16,28,6,27,11,52,79
0,23,20,17,47,46,16,24,56
4,19,20,32,28,36,34,84,92
10,21,0,31,38,25,72,58,28
1,17,18,50,39,21,65,33,47
0,7,7,34,14,22,31,49,21
0,1,11,34,40,76,62,20,49
0,8,12,22,24,23,32,38,36
0,27,9,27,35,16,21,33,74
0,2,7,20,12,50,48,39,48
28,11,4,31,11,36,61,35,65
7,9,37,22,10,28,17,41,33
0,13,12,28,24,61,36,50,74
12,13,26,4,45,32,42,31,58
33,22,26,29,34,62,42,36,35
0,9,4,21,21,17,34,58,91
0,8,13,50,69,48,24,79,54
0,15,6,8,3,41,38,64,37
0,4,57,18,32,20,36,47,52
0,4,40,7,37,59,26,61,41
0,4,23,20,15,35,40,68,73
1,5,20,29,32,38,82,68,51
24,13,33,24,31,55,45,53,58
9,41,37,13,23,5,32,29,56
3,1,16,30,38,14,54,31,68
8,0,14,37,50,49,59,49,68
1,7,31,50,24,8,32,49,54
0,13,13,74,38,45,48,39,72
4,0,14,14,24,14,55,46,61
4,12,11,31,31,87,47,51,78
2,6,35,12,36,12,31,33,41
5,3,28,24,69,65,19,53,49
11,16,21,30,21,33,37,51,29
24,26,12,35,41,12,61,66,33
5,25,27,23,17,44,69,29,49
23,7,20,44,31,35,34,35,50
1,30,43,36,43,45,83,33,53
3,11,9,6,34,49,46,52,49
0,27,3,64,9,28,86,37,39
0,0,32,11,16,14,47,56,66
31,3,14,18,17,62,39,53,58
0,2,33,27,29,25,62,62,56
0,8,32,41,28,55,60,58,73
0,37,0,29,29,56,53,54,38
2,19,23,33,16,16,62,26,39
8,13,6,23,59,38,50,52,42
0,10,15,33,25,61,45,80,29
0,13,26,29,8,37,46,77,93
8,27,3,11,18,28,67,34,36
0,27,31,23,24,69,47,55,88
23,14,19,10,37,27,32,48,64
0,0,20,35,29,23,16,66,45
0,9,26,15,25,58,47,51,35
20,13,8,51,30,33,69,75,45
13,10,14,21,57,56,38,58,78
4,3,30,33,13,26,50,43,34
0,23,0,20,16,19,30,81,61
4,28,19,45,39,50,41,37,57
0,1,26,16,18,70,64,78,60
4,40,12,29,35,66,38,70,31
10,2,24,40,33,14,41,75,68
10,12,20,22,23,59,36,63,43
16,4,14,13,51,37,60,50,72
2,4,11,23,22,17,56,81,84
6,10,16,24,45,43,114,35,39
0,15,30,23,33,11,86,36,60
1,10,17,34,28,30,62,74,54
20,1,18,24,56,40,69,52,41
0,16,28,12,26,29,30,65,18
10,9,5,10,14,15,21,44,36
0,7,65,16,37,25,75,59,71
0,5,27,21,33,26,63,39,87
0,11,11,18,26,26,73,58,82
4,8,7,41,46,46,61,43,31
0,24,25,15,17,24,36,73,28
7,22,9,16,29,16,20,68,67
0,22,24,5,39,55,42,67,83
14,10,13,32,36,24,30,44,116
3,3,11,28,20,25,35,75,89
0,21,32,23,28,38,27,30,58
5,3,30,24,48,55,42,54,50
3,24,18,23,31,45,51,67,32
17,7,14,12,45,47,41,43,89
4,21,18,28,20,66,67,83,28
11,3,15,21,15,4,31,73,16
0,12,17,3,20,16,38,56,61
0,11,0,4,30,23,43,54,13
0,21,2,20,60,29,14,39,64
0,14,22,26,31,49,26,63,29
0,0,16,28,53,38,41,66,45
0,0,26,30,54,65,9,44,69
0,6,3,31,2,44,52,46,51
2,6,25,44,27,16,45,41,55
15,0,35,13,41,41,56,85,38
3,5,19,21,63,38,68,58,64
5,1,41,8,18,30,41,39,34
13,22,0,43,50,71,57,38,46
0,12,42,22,26,13,52,76,55
7,11,13,20,23,28,20,61,91
0,7,16,25,66,54,49,43,60
2,12,19,5,36,29,76,47,31
11,0,15,9,20,45,41,57,45
0,23,19,25,56,63,56,34,103
0,8,18,18,41,38,49,70,27
7,2,20,12,33,31,32,131,61
0,9,4,32,23,36,56,59,47
6,24,0,20,37,45,89,27,78
0,7,31,17,18,27,49,64,60
10,8,37,9,25,52,40,41,102
7,12,29,15,36,51,61,6,83
0,9,21,11,42,37,39,77,79
8,16,7,26,50,29,71,85,53
9,6,13,14,36,34,16,83,46
0,7,5,46,24,52,63,28,49
11,8,23,35,12,34,71,36,103
4,2,19,33,46,54,40,36,96
10,16,17,26,15,28,21,41,59
0,7,9,25,37,29,71,90,67
6,23,25,24,59,33,45,62,28
3,9,20,40,32,52,72,34,45
5,8,19,22,50,43,20,69,60
1,26,33,31,17,34,43,55,62
12,11,18,51,32,32,23,35,59
0,15,0,9,31,49,58,65,39
11,21,16,27,29,30,36,39,55
0,0,14,0,17,9,47,64,77
12,8,8,17,49,36,67,62,48
15,15,22,28,22,24,31,44,78
2,12,14,35,33,40,34,33,102
0,0,2,16,40,39,50,75,54
0,7,10,19,30,33,71,43,108
0,8,20,37,35,27,34,43,107
0,3,3,15,33,79,51,51,54
2,8,24,7,33,22,28,65,36
12,8,17,12,19,3,42,47,56
25,17,19,43,38,37,45,40,75
0,27,33,25,51,29,41,73,19
2,0,17,27,29,33,67,73,61
3,0,28,23,58,57,45,38,58
0,15,26,38,35,63,20,45,49
12,23,19,15,9,32,60,51,28
1,22,15,10,33,42,71,26,42
9,9,20,7,18,20,53,53,49
1,9,7,21,26,3,34,77,58
15,13,20,24,35,71,46,36,53
0,12,8,30,31,38,28,44,37
7,27,5,41,21,72,37,34,65
20,15,11,0,23,50,57,53,44
1,14,25,24,15,8,12,39,49
4,16,30,8,25,3,42,21,85
5,7,21,23,34,56,29,21,41
10,20,23,0,68,69,51,55,79
1,22,18,69,63,49,62,47,24
8,7,8,25,11,16,52,37,46
14,4,20,37,25,34,23,53,45
6,12,18,23,27,34,32,51,30
5,8,15,30,48,48,62,69,45
2,7,14,20,32,32,39,71,77
12,10,4,15,27,56,53,71,43
0,17,39,40,12,23,47,66,35
3,3,23,23,52,35,37,46,56
11,13,5,27,30,27,47,76,61
24,10,23,16,23,34,34,55,23
0,25,25,12,44,50,55,115,62
0,9,25,18,8,37,36,49,83
3,28,2,35,7,16,42,44,62
12,2,7,36,53,40,59,35,66
0,7,27,18,53,55,38,24,85
2,14,37,17,17,38,33,50,52
16,8,27,21,40,32,47,62,12
0,19,16,56,14,17,36,60,77
0,16,11,20,10,13,44,40,104
0,13,25,6,24,25,63,24,32
1,10,30,45,18,45,74,57,86
4,16,20,21,28,42,38,37,66
0,8,18,29,55,31,50,57,38
0,8,21,52,14,21,21,55,147
10,17,25,8,46,22,58,58,43
0,7,22,0,28,32,56,54,87
18,4,11,35,31,19,22,69,27
11,13,14,13,52,22,46,31,68
0,6,18,12,80,40,54,25,37
13,3,15,9,49,54,77,58,39
12,11,12,25,39,38,36,39,25
16,26,46,53,55,52,61,71,35
11,15,6,16,40,41,46,40,32
4,33,45,15,88,45,32,74,66
7,8,13,28,51,46,28,36,105
5,3,11,19,27,16,46,67,25
4,23,8,26,10,53,35,75,76
28,3,29,24,31,22,45,52,69
0,5,36,37,45,23,29,34,68
0,25,26,5,23,68,52,28,63
17,6,10,26,5,44,21,31,32
11,27,27,33,35,50,41,22,34
0,4,50,18,37,50,33,95,89
0,17,33,30,36,23,31,78,65
3,11,31,31,64,41,42,86,83
17,9,31,39,30,25,62,63,114
8,16,5,10,54,23,28,39,34
30,4,15,33,41,38,49,29,23
1,0,14,9,14,69,29,39,73
13,2,14,30,18,55,51,48,43
11,18,9,12,33,44,50,28,69
2,2,4,19,21,25,68,76,82
3,2,41,30,50,61,25,35,32
0,3,14,37,46,51,36,72,25
10,17,22,50,12,35,82,55,49
5,5,28,55,9,31,16,45,62
0,11,7,9,26,52,81,15,53
18,12,25,15,44,30,34,62,48
0,4,13,23,60,33,61,40,52
5,3,20,31,35,12,52,40,87
14,15,18,17,43,34,35,44,30
2,11,0,25,16,65,37,33,44
2,0,3,8,35,34,43,54,62
5,36,39,46,17,36,39,63,44
3,6,12,31,35,40,43,32,27
4,2,18,18,42,51,44,62,66
4,9,9,33,53,33,58,54,39
5,13,9,16,24,64,43,63,96
0,8,29,48,28,92,46,54,82
6,20,23,14,29,61,21,43,54
13,28,17,27,38,61,64,37,22
11,11,18,44,32,42,60,49,94
1,11,37,32,26,28,95,22,48
6,3,17,11,32,36,38,50,54
3,0,20,68,18,28,16,30,93
0,13,12,26,60,29,69,55,47
0,6,12,1,36,43,38,67,36
16,3,20,16,3,42,48,32,52
5,21,21,25,32,37,19,46,59
8,17,2,26,28,33,53,29,51
0,1,6,12,21,34,64,33,69
0,3,5,24,33,38,49,42,80
14,11,42,25,53,38,26,42,38
0,11,8,18,27,16,47,36,40
10,6,22,70,18,0,13,57,60
3,4,22,7,29,30,60,25,58
0,11,19,7,26,15,81,41,89
0,23,13,58,45,34,53,44,61
0,17,8,16,47,17,44,50,39
3,15,21,12,35,56,21,62,48
2,12,6,25,12,54,84,51,81
4,17,19,14,33,30,31,72,52
0,7,19,25,20,74,76,88,89
7,15,29,36,45,58,44,64,37
2,0,33,20,21,39,43,62,38
0,16,28,33,24,9,54,31,25
0,41,28,31,30,50,43,51,64
0,6,8,33,4,46,60,76,32
6,4,21,15,32,66,67,66,56
0,7,71,18,70,16,42,41,47
0,5,12,53,20,54,28,116,59
0,12,10,24,26,16,47,48,56
25,5,19,23,39,44,95,40,64
4,11,9,43,20,51,13,57,68
2,9,17,26,24,46,28,27,90
0,11,3,12,26,30,37,52,110
8,14,7,30,28,28,51,66,36
0,8,20,40,23,68,35,54,60
0,12,4,18,29,79,80,39,89
0,23,10,3,39,18,40,85,70
13,2,19,7,40,27,46,78,57
0,22,3,39,29,39,53,34,68
8,11,42,30,27,33,50,84,32
3,11,0,45,31,60,77,44,68
0,7,2,28,43,43,54,60,82
23,27,17,35,40,29,70,41,63
25,11,17,28,41,25,23,54,61
0,6,22,33,21,33,53,56,56
0,3,8,25,26,41,47,42,64
1,12,25,21,65,32,37,79,57
14,18,9,20,18,71,39,57,89
8,8,17,15,18,30,28,32,44
0,39,14,24,14,42,45,39,80
8,3,8,39,43,34,43,35,40
0,3,8,15,30,35,42,58,61
8,5,52,41,32,37,12,75,48
11,3,9,20,22,38,24,38,83
14,12,26,51,18,18,69,90,49
1,12,16,21,29,47,64,23,42
0,12,15,23,51,56,47,81,76
11,6,19,28,51,54,46,39,59
0,21,29,30,13,28,87,51,28
12,1,21,25,23,24,43,19,41
8,3,35,27,20,13,99,37,45
0,16,6,21,35,52,32,52,23
3,16,12,34,50,6,90,65,58
10,3,16,22,58,8,73,19,85
0,0,21,28,31,26,106,60,33
2,7,23,16,40,23,29,37,38
11,35,15,33,60,24,54,29,52
0,23,19,22,36,37,57,38,37
0,5,15,19,36,45,24,60,48
7,14,13,27,16,42,87,57,47
0,18,10,9,36,37,35,37,82
6,21,29,14,32,38,24,49,35
0,22,32,26,73,25,41,39,77
0,0,25,24,60,18,61,28,69
0,3,18,38,33,60,56,52,51
2,9,13,47,23,52,22,53,124
7,25,10,32,17,19,37,71,31
14,28,14,24,11,26,50,18,60
0,15,46,6,46,31,53,62,28
7,0,18,10,54,58,45,29,55
7,2,19,16,14,34,46,44,35
0,2,18,25,14,94,40,50,72
0,18,22,21,29,73,39,31,50
5,15,27,30,41,2,51,59,55
0,0,17,43,27,19,61,63,75
3,29,12,13,41,6,42,75,60
8,1,0,19,60,66,59,21,60
13,2,11,29,25,21,55,60,45
11,5,49,50,11,29,19,44,27
16,11,30,5,51,19,54,73,74
11,4,6,20,26,19,39,92,68
