"scenario","prob_50","prob_Extn"
"A",0,45.3
"B",0,15.5
"C",0.1,6.8
"D",0.2,2.2
"E",0.2,0.4
"F",0.8,0.1
"G",2.6,0
"H",4.6,0
"I",11,0
